Job Role,Skills,Certifications,Courses,Projects,Experience Level,Education,Industry,Keywords,Technologies
Cloud Architect,"Java, Docker, C++, Kubernetes, TensorFlow","Google Cloud Professional, Certified Data Scientist, AWS Certified Developer","Cloud Computing, Cybersecurity Fundamentals","Fake News Detection, Network Security System",Mid,BCA,IT,"C++, SQL, TensorFlow","Azure, Docker"
Database Administrator,"Java, JavaScript, TensorFlow","Oracle Certified DBA, Certified Data Scientist, Google Cloud Professional","Cloud Computing, Machine Learning, Cybersecurity Fundamentals",Network Security System,Mid,Diploma in IT,AI,"Kubernetes, Docker, C++, SQL","Docker, Kubernetes, AWS"
Database Administrator,"Python, Java, SQL","AWS Certified Developer, Microsoft Azure Administrator, Google Cloud Professional","Web Development, Data Structures, Cloud Computing","Fake News Detection, Network Security System",Senior,Diploma in IT,IT,"ReactJS, SQL","Docker, Git"
Database Administrator,"Kubernetes, NodeJS, Docker, JavaScript, TensorFlow",Oracle Certified DBA,"Machine Learning, Cloud Computing","E-commerce Website, Data Visualization Tool",Entry,M.Sc in Data Science,IT,"Kubernetes, JavaScript, ReactJS","Docker, Git, Kubernetes"
Cloud Architect,"SQL, Python, JavaScript",Oracle Certified DBA,"Machine Learning, Data Structures, Cloud Computing","Chatbot Development, Data Visualization Tool",Mid,M.Sc in Data Science,Software,"Docker, SQL","AWS, Git"
Software Engineer,"Docker, JavaScript, Python, C++",AWS Certified Developer,"Cloud Computing, Cybersecurity Fundamentals, Web Development","Fake News Detection, E-commerce Website",Mid,MCA,Cybersecurity,"Java, Docker, SQL","Kubernetes, Azure, Docker"
Cybersecurity Analyst,"ReactJS, JavaScript, SQL","Certified Data Scientist, Oracle Certified DBA","Machine Learning, Web Development, Cybersecurity Fundamentals, Data Structures","Chatbot Development, E-commerce Website",Entry,BCA,AI,"TensorFlow, NodeJS, JavaScript, SQL","Azure, Docker, AWS"
Software Engineer,"JavaScript, NodeJS, ReactJS, Docker, SQL","Oracle Certified DBA, Microsoft Azure Administrator","Data Structures, Cloud Computing, Cybersecurity Fundamentals","Data Visualization Tool, E-commerce Website",Senior,B.Tech in Computer Science,AI,"Python, Docker, SQL, ReactJS","Kubernetes, AWS, Azure"
Backend Developer,"Java, ReactJS, Python","Microsoft Azure Administrator, Google Cloud Professional","Cloud Computing, Machine Learning, Web Development","Data Visualization Tool, Chatbot Development",Entry,Diploma in IT,Software,"SQL, TensorFlow, Docker, NodeJS","Kubernetes, AWS, Git"
Cloud Architect,"C++, ReactJS, SQL, TensorFlow","AWS Certified Developer, Certified Data Scientist","Cybersecurity Fundamentals, Web Development",E-commerce Website,Senior,Diploma in IT,Software,"Kubernetes, TensorFlow, Python","AWS, Docker"
Backend Developer,"ReactJS, C++, Docker, TensorFlow","Microsoft Azure Administrator, Oracle Certified DBA, Certified Data Scientist","Data Structures, Web Development, Machine Learning, Cybersecurity Fundamentals",Data Visualization Tool,Mid,MCA,Cloud Computing,"SQL, ReactJS","Azure, Git, AWS"
Software Engineer,"TensorFlow, NodeJS, Kubernetes","Oracle Certified DBA, AWS Certified Developer","Cloud Computing, Data Structures, Web Development",Network Security System,Entry,MCA,Cloud Computing,"Java, JavaScript, C++","Docker, Git, AWS"
Data Scientist,"Python, Kubernetes, ReactJS, SQL","Google Cloud Professional, Certified Data Scientist","Cloud Computing, Cybersecurity Fundamentals, Web Development","E-commerce Website, Network Security System",Entry,B.Tech in Computer Science,Cloud Computing,"Java, Kubernetes, ReactJS, NodeJS","AWS, Azure, Kubernetes"
Software Engineer,"Kubernetes, ReactJS, Python, SQL, Docker","AWS Certified Developer, Oracle Certified DBA, Google Cloud Professional","Data Structures, Cloud Computing, Cybersecurity Fundamentals",Network Security System,Entry,BCA,AI,"TensorFlow, Docker, ReactJS, NodeJS","Docker, AWS"
Database Administrator,"Java, NodeJS, Docker",Oracle Certified DBA,"Machine Learning, Data Structures, Cloud Computing, Cybersecurity Fundamentals",Data Visualization Tool,Senior,Diploma in IT,Cybersecurity,"ReactJS, Python, JavaScript, Docker","Kubernetes, Git, Azure"
Data Scientist,"JavaScript, ReactJS, Java",AWS Certified Developer,"Web Development, Cloud Computing",Chatbot Development,Senior,M.Sc in Data Science,Software,"Java, NodeJS, Kubernetes, TensorFlow","Git, Docker"
Frontend Developer,"Docker, TensorFlow, SQL, ReactJS, Python","Oracle Certified DBA, Certified Data Scientist, Google Cloud Professional","Cloud Computing, Web Development, Cybersecurity Fundamentals",Network Security System,Mid,MCA,Cloud Computing,"C++, SQL","Azure, Git"
Backend Developer,"JavaScript, SQL, C++, Kubernetes, ReactJS","Microsoft Azure Administrator, Google Cloud Professional","Cloud Computing, Machine Learning, Cybersecurity Fundamentals","E-commerce Website, Data Visualization Tool",Entry,BCA,Cloud Computing,"Docker, Java, SQL, NodeJS","Azure, AWS, Git"
Frontend Developer,"Kubernetes, ReactJS, JavaScript, Docker","Oracle Certified DBA, Microsoft Azure Administrator, Certified Data Scientist","Cloud Computing, Machine Learning, Web Development","Data Visualization Tool, Network Security System",Senior,B.Tech in Computer Science,AI,"NodeJS, Java, ReactJS","Docker, Kubernetes"
Full Stack Developer,"NodeJS, C++, SQL, JavaScript","Google Cloud Professional, AWS Certified Developer, Microsoft Azure Administrator","Web Development, Data Structures, Cloud Computing, Machine Learning","Data Visualization Tool, Network Security System",Mid,MCA,Cybersecurity,"JavaScript, Docker","Git, Azure"
Frontend Developer,"SQL, C++, NodeJS, Docker, Java",Certified Data Scientist,"Machine Learning, Web Development",Fake News Detection,Mid,Diploma in IT,AI,"NodeJS, JavaScript","Azure, AWS"
Cloud Architect,"Docker, ReactJS, TensorFlow, C++",AWS Certified Developer,"Cloud Computing, Cybersecurity Fundamentals, Web Development","E-commerce Website, Network Security System",Senior,MCA,AI,"Docker, NodeJS, Python","Kubernetes, Azure"
Data Scientist,"SQL, NodeJS, TensorFlow, ReactJS, Java","Google Cloud Professional, Oracle Certified DBA","Web Development, Machine Learning",Network Security System,Entry,BCA,Cloud Computing,"C++, NodeJS","Git, Kubernetes, Azure"
DevOps Engineer,"Python, C++, SQL",Oracle Certified DBA,"Web Development, Cloud Computing, Machine Learning",E-commerce Website,Entry,B.Tech in Computer Science,Software,"JavaScript, Kubernetes, ReactJS","Kubernetes, AWS"
Full Stack Developer,"JavaScript, Java, Docker, SQL, C++","AWS Certified Developer, Oracle Certified DBA","Cloud Computing, Machine Learning, Data Structures, Cybersecurity Fundamentals","Network Security System, Data Visualization Tool",Senior,M.Sc in Data Science,Software,"Kubernetes, Python, C++","Git, Azure"
Cybersecurity Analyst,"Python, NodeJS, Kubernetes","Oracle Certified DBA, AWS Certified Developer, Google Cloud Professional","Data Structures, Cybersecurity Fundamentals, Machine Learning",Fake News Detection,Senior,B.Tech in Computer Science,Cybersecurity,"ReactJS, TensorFlow, C++","Kubernetes, Docker, Git"
DevOps Engineer,"Python, SQL, ReactJS, C++","Microsoft Azure Administrator, AWS Certified Developer, Oracle Certified DBA","Machine Learning, Cloud Computing, Web Development",Chatbot Development,Mid,B.Tech in Computer Science,Cloud Computing,"ReactJS, JavaScript, Java","AWS, Docker"
Software Engineer,"SQL, Kubernetes, JavaScript, Java, C++","Microsoft Azure Administrator, Google Cloud Professional, Certified Data Scientist","Web Development, Data Structures","Network Security System, Fake News Detection",Entry,B.Tech in Computer Science,AI,"JavaScript, SQL","Kubernetes, Git, Docker"
DevOps Engineer,"NodeJS, Kubernetes, ReactJS, Java",Certified Data Scientist,"Machine Learning, Web Development",Network Security System,Mid,BCA,Cybersecurity,"NodeJS, SQL","AWS, Kubernetes, Git"
Full Stack Developer,"NodeJS, TensorFlow, SQL",Certified Data Scientist,"Web Development, Data Structures, Cybersecurity Fundamentals","E-commerce Website, Chatbot Development",Entry,B.Tech in Computer Science,AI,"NodeJS, Docker, TensorFlow, Python","Azure, Docker, Git"
Cloud Architect,"JavaScript, SQL, Kubernetes","Oracle Certified DBA, AWS Certified Developer, Certified Data Scientist","Cybersecurity Fundamentals, Machine Learning, Data Structures",E-commerce Website,Entry,Diploma in IT,Software,"Java, Python, ReactJS, SQL","Azure, Kubernetes, Docker"
AI Engineer,"TensorFlow, Python, Kubernetes, C++","Certified Data Scientist, Oracle Certified DBA","Cybersecurity Fundamentals, Machine Learning",Fake News Detection,Mid,M.Sc in Data Science,Cloud Computing,"C++, NodeJS, ReactJS, TensorFlow","Docker, Azure, AWS"
Software Engineer,"JavaScript, Kubernetes, ReactJS, TensorFlow","Oracle Certified DBA, AWS Certified Developer","Data Structures, Cybersecurity Fundamentals, Cloud Computing",Fake News Detection,Mid,MCA,AI,"Java, Kubernetes, NodeJS, JavaScript","Docker, Kubernetes"
Cloud Architect,"ReactJS, C++, Java, TensorFlow, Kubernetes",AWS Certified Developer,"Cybersecurity Fundamentals, Cloud Computing, Data Structures, Machine Learning","Fake News Detection, Network Security System",Mid,B.Tech in Computer Science,Software,"TensorFlow, Python","AWS, Docker, Azure"
DevOps Engineer,"Kubernetes, SQL, Java, NodeJS",Oracle Certified DBA,"Web Development, Data Structures, Machine Learning, Cloud Computing","Data Visualization Tool, Chatbot Development",Mid,MCA,Cybersecurity,"ReactJS, Python, Kubernetes","AWS, Git"
Database Administrator,"Python, JavaScript, Kubernetes","Google Cloud Professional, Oracle Certified DBA, Microsoft Azure Administrator","Web Development, Machine Learning",Chatbot Development,Mid,Diploma in IT,Software,"C++, TensorFlow, Python","Kubernetes, Docker, Git"
Full Stack Developer,"C++, ReactJS, SQL, Docker, TensorFlow","Certified Data Scientist, Google Cloud Professional, Oracle Certified DBA","Web Development, Cybersecurity Fundamentals","Chatbot Development, E-commerce Website",Mid,M.Sc in Data Science,IT,"Docker, ReactJS, NodeJS","Git, AWS"
Data Scientist,"SQL, NodeJS, Python, Docker, JavaScript","Microsoft Azure Administrator, AWS Certified Developer, Oracle Certified DBA","Web Development, Data Structures, Cloud Computing, Cybersecurity Fundamentals",Data Visualization Tool,Entry,MCA,IT,"JavaScript, C++, Python, NodeJS","AWS, Docker"
Software Engineer,"SQL, TensorFlow, NodeJS","Certified Data Scientist, AWS Certified Developer, Oracle Certified DBA","Cybersecurity Fundamentals, Web Development, Machine Learning, Cloud Computing","Chatbot Development, Data Visualization Tool",Mid,Diploma in IT,Cloud Computing,"NodeJS, Docker","Docker, Azure"
Database Administrator,"NodeJS, Kubernetes, C++, Java",Microsoft Azure Administrator,"Machine Learning, Cloud Computing, Web Development","Network Security System, Chatbot Development",Senior,M.Sc in Data Science,Software,"ReactJS, JavaScript","Kubernetes, AWS"
Frontend Developer,"Kubernetes, TensorFlow, C++, ReactJS, Docker","Oracle Certified DBA, Certified Data Scientist, Microsoft Azure Administrator","Data Structures, Web Development","Chatbot Development, Network Security System",Mid,BCA,Cybersecurity,"TensorFlow, Java, ReactJS","Azure, Git"
Data Scientist,"TensorFlow, C++, Kubernetes, SQL","Microsoft Azure Administrator, Certified Data Scientist","Cybersecurity Fundamentals, Cloud Computing, Web Development","Fake News Detection, Data Visualization Tool",Mid,MCA,Cybersecurity,"Kubernetes, TensorFlow, JavaScript, Docker","Git, Docker, AWS"
Database Administrator,"Python, NodeJS, C++","Oracle Certified DBA, AWS Certified Developer","Web Development, Cybersecurity Fundamentals",Data Visualization Tool,Entry,Diploma in IT,Cloud Computing,"Kubernetes, Java, Docker, SQL","Docker, Git"
Data Scientist,"Docker, TensorFlow, Java",Google Cloud Professional,"Web Development, Machine Learning, Cloud Computing, Cybersecurity Fundamentals","Fake News Detection, Data Visualization Tool",Mid,BCA,Software,"SQL, Python, Kubernetes","Azure, AWS, Git"
Cloud Architect,"JavaScript, Kubernetes, SQL, C++, Docker","Oracle Certified DBA, Certified Data Scientist","Cloud Computing, Data Structures, Machine Learning",Data Visualization Tool,Entry,M.Sc in Data Science,Software,"Java, JavaScript, TensorFlow, ReactJS","Azure, AWS, Git"
Software Engineer,"Kubernetes, C++, TensorFlow","AWS Certified Developer, Google Cloud Professional","Web Development, Cybersecurity Fundamentals, Cloud Computing","Data Visualization Tool, Chatbot Development",Mid,BCA,Software,"SQL, C++","Kubernetes, Azure"
Frontend Developer,"Java, Docker, JavaScript, Python","Google Cloud Professional, Microsoft Azure Administrator, Certified Data Scientist","Cybersecurity Fundamentals, Machine Learning","Fake News Detection, Chatbot Development",Senior,BCA,Cybersecurity,"Java, NodeJS","AWS, Kubernetes, Git"
DevOps Engineer,"C++, Java, Docker, Kubernetes, Python","Oracle Certified DBA, Microsoft Azure Administrator","Data Structures, Cloud Computing, Machine Learning",Network Security System,Senior,BCA,Software,"C++, Kubernetes, JavaScript, Python","Docker, Kubernetes"
DevOps Engineer,"Kubernetes, TensorFlow, C++, Docker",Google Cloud Professional,"Cybersecurity Fundamentals, Machine Learning, Data Structures",Chatbot Development,Senior,B.Tech in Computer Science,Cybersecurity,"Kubernetes, NodeJS, JavaScript, TensorFlow","Azure, Git"
Full Stack Developer,"ReactJS, Java, C++, NodeJS","AWS Certified Developer, Oracle Certified DBA, Microsoft Azure Administrator","Web Development, Data Structures, Cybersecurity Fundamentals","Network Security System, E-commerce Website",Mid,B.Tech in Computer Science,IT,"C++, SQL, NodeJS","Kubernetes, Azure"
Full Stack Developer,"NodeJS, SQL, Python, JavaScript",Certified Data Scientist,"Cloud Computing, Web Development, Cybersecurity Fundamentals",Fake News Detection,Senior,M.Sc in Data Science,Cybersecurity,"Python, TensorFlow, JavaScript","Git, Kubernetes, Docker"
Backend Developer,"NodeJS, Python, ReactJS, Kubernetes","Microsoft Azure Administrator, AWS Certified Developer","Data Structures, Web Development, Cybersecurity Fundamentals, Cloud Computing",Chatbot Development,Mid,Diploma in IT,AI,"NodeJS, Java","Git, Docker, Azure"
Data Scientist,"SQL, Python, Kubernetes, JavaScript, TensorFlow","AWS Certified Developer, Microsoft Azure Administrator, Certified Data Scientist","Data Structures, Web Development, Cloud Computing",Data Visualization Tool,Mid,MCA,AI,"JavaScript, Docker, ReactJS, SQL","Git, Azure"
Frontend Developer,"NodeJS, ReactJS, Python, JavaScript","Google Cloud Professional, AWS Certified Developer, Certified Data Scientist","Cloud Computing, Data Structures, Machine Learning",E-commerce Website,Senior,MCA,Cybersecurity,"Kubernetes, Python","Git, Kubernetes, AWS"
DevOps Engineer,"JavaScript, Kubernetes, Docker","Google Cloud Professional, Certified Data Scientist, Oracle Certified DBA","Cybersecurity Fundamentals, Cloud Computing, Web Development, Data Structures","Chatbot Development, E-commerce Website",Entry,B.Tech in Computer Science,Software,"ReactJS, NodeJS, Java, C++","Kubernetes, Git"
AI Engineer,"SQL, Python, JavaScript, NodeJS",AWS Certified Developer,"Web Development, Cloud Computing",Fake News Detection,Entry,Diploma in IT,Cybersecurity,"C++, Kubernetes, NodeJS, Docker","AWS, Kubernetes, Azure"
Backend Developer,"JavaScript, Docker, SQL, Java, Kubernetes","AWS Certified Developer, Certified Data Scientist, Google Cloud Professional","Web Development, Cloud Computing, Cybersecurity Fundamentals",Network Security System,Mid,BCA,Cybersecurity,"ReactJS, Java","Docker, Azure"
Data Scientist,"Java, Python, ReactJS",Certified Data Scientist,"Cloud Computing, Web Development",Fake News Detection,Mid,M.Sc in Data Science,Cybersecurity,"Python, SQL, Docker","AWS, Git, Azure"
Cloud Architect,"Java, SQL, Python",Google Cloud Professional,"Cloud Computing, Machine Learning",Data Visualization Tool,Mid,MCA,IT,"TensorFlow, NodeJS, Python","Git, Azure, Kubernetes"
